trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",20,0,-53.38117126677669,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9216}",25,0,-73.54343379419622,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8847359999999999}",35,0,-184.62613244529388,"{0: 24, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8493465599999999}",20,0,-63.91762069585115,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8153726975999999}",25,0,-183.06482912241833,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7827577896959999}",25,0,-122.90217866044873,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7514474781081598}",30,0,-103.9666118403525,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.7213895789838334}",35,0,-230.76197058094502,"{0: 23, 1: 4, 2: 0, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.69253399582448}",30,0,-137.7181508525039,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6648326359915008}",20,0,-43.22212033217067,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,4,-44.8688702335308,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.6127097573297671}",25,0,-45.92150629325666,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5882013670365764}",20,0,-88.18984064371057,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5646733123551133}",25,0,-29.437590614275518,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5420863798609088}",30,0,-86.89944802166889,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.5204029246664724}",20,2,-0.6862496228354866,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.49958680767981345}",20,10,-15.44279449260653,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
