trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-1.2053293716906412,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,1.074212382981338,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-64.99411181681451,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,0,-188.4029278768011,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999999}",20,0,-131.63955711934898,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639999}",20,0,-91.61213555962463,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467199}",20,0,-4.791332913060679,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817855}",30,8,-70.41329636226588,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301498}",30,0,-18.07641470584306,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,1,-191.93110734581666,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.8007313507497958}",20,0,-123.30333449754484,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-85.24211522115621,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,0,-69.72400517237567,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-148.03519935033646,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454038}",30,0,-90.37683412046364,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,0,-72.74457054254927,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-97.15391834791127,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",25,0,-83.54023903825552,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",35,17,-59.63222530971914,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,0,-90.9383013061669,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",30,0,-106.23244124557371,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-31.838880848780555,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521207}",30,14,-131.68892285089638,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.6157803365090783}",25,0,-33.36896048740831,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788966}",20,0,-69.13042839078402,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833187}",30,0,-83.60456633620343,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",25,11,1.3549372959835184,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",25,0,-46.39659923996911,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",25,13,-11.295316948924812,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,0,-37.034701316255266,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,12,-51.40136659129257,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,0,-57.773135292691556,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,12,-33.26774631421745,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",30,9,-95.53667330956004,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.493074620618078}",35,23,-1.963426717096862,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,2,-11.826372782888352,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,22.690111489747473,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.46407788832877}",20,7,20.81202416263207,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",35,11,-30.136446453438023,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",25,13,0.3630715810428782,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",20,4,10.050522706539594,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,18,-14.835929172443954,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.4194896545954032}",30,20,12.862693924288669,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41109986150349515}",25,8,20.865484724979428,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,7.028412947955383,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
