trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 1.0}",25,0,-137.7796524819802,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.4, 'e': 1.0}",25,0,-176.00185962512,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.35000000000000003, 'e': 1.0}",25,0,-60.59540923744661,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.30000000000000004, 'e': 1.0}",25,0,-120.20686697974214,"{0: 12, 1: 6, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.25000000000000006, 'e': 1.0}",25,0,-151.04282744585518,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.20000000000000007, 'e': 1.0}",20,13,12.0718802193262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.15000000000000008, 'e': 1.0}",25,0,-57.86156954275337,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.10000000000000007, 'e': 1.0}",20,0,-21.93425588148956,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.05000000000000007, 'e': 1.0}",25,11,-103.63420195058654,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 1}",1
10,False,"{'a': 6.938893903907228e-17, 'e': 1.0}",20,0,-176.57668092804002,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
11,False,"{'a': -0.04999999999999993, 'e': 1.0}",35,0,-92.16684807909976,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': -0.09999999999999994, 'e': 1.0}",20,0,-40.29255918066946,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': -0.14999999999999994, 'e': 1.0}",30,0,-105.64655540565117,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': -0.19999999999999996, 'e': 1.0}",20,0,-55.51226012490919,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': -0.24999999999999994, 'e': 1.0}",20,0,-70.71674673468785,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': -0.29999999999999993, 'e': 1.0}",30,0,-54.3590051354077,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': -0.3499999999999999, 'e': 1.0}",20,0,-92.21843641426963,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': -0.3999999999999999, 'e': 1.0}",25,0,-139.6109793573348,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': -0.4499999999999999, 'e': 1.0}",25,13,-29.635617977656985,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': -0.4999999999999999, 'e': 1.0}",30,0,-181.2385507136688,"{0: 15, 1: 8, 2: 2, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 1.0}",20,0,-157.49429489114613,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 1.0}",25,0,-103.1987970048928,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 1.0}",20,0,-117.52779502376771,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 1.0}",20,0,-26.135838464845037,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 1.0}",20,0,-114.27907537302896,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 1.0}",35,0,-143.66547612303987,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 1.0}",20,0,-134.63640494524435,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 1.0}",25,0,-80.36316789840753,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 1.0}",20,0,-96.55527088475323,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 1.0}",20,0,-74.63898478611367,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
